#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
MAPK3	1	MS							62	thyroid(1);large_intestine(10);autonomic_ganglia(1);soft_tissue(1);central_nervous_system(2);pleura(1);haematopoietic_and_lymphoid_tissue(3);endometrium(4);urinary_tract(5);oesophagus(2);bone(3);lung(2);skin(17);stomach(3);ovary(1);prostate(1);kidney(1);breast(4)	1	 The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular  signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as  proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This  kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear  targets. Alternatively spliced transcript variants encoding different protein isoforms have been described. (provided  by RefSeq)	2253	http://www.ncbi.nlm.nih.gov/pubmed?term=MAPK3[MH]+AND+cancer[MH]				0.534	0.1682	1	../MuPIT_Interactive?gm=chr16:30116944					Erlotinib, Gefitinib, EGFR Inhibitors	
CORO1A	2	MS					C3809383	OMIM:615401	102	large_intestine(18);endometrium(7);lung(3);skin(13);kidney(3);thyroid(2);cervix(1);central_nervous_system(3);oesophagus(4);NS(2);upper_aerodigestive_tract(2);biliary_tract(1);stomach(15);soft_tissue(3);urinary_tract(3);breast(1);prostate(1);pancreas(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(8);ovary(2);bone(2);liver(5)	1	 This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of	3	http://www.ncbi.nlm.nih.gov/pubmed?term=CORO1A[TIAB]+AND+cancer[MH]				0.221	0.49297	1	../MuPIT_Interactive?gm=chr16:30188484						
CD2BP2	1	MS							85	thyroid(1);cervix(1);large_intestine(13);stomach(8);soft_tissue(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(2);biliary_tract(2);endometrium(2);urinary_tract(1);lung(5);breast(4);skin(14);oesophagus(4);ovary(4);NS(12);prostate(2);kidney(1);liver(7)	1	 This gene encodes a bi-functional protein. In the cytoplasm, the encoded protein binds the cytoplasmic tail of human  surface antigen CD2 via its C-terminal GYF domain, and regulate CD2-triggered T lymphocyte activation. In the nucleus,  this protein is a component of the U5 small nuclear ribonucleoprotein complex and is involved in RNA splicing. A  pseudogene has been identified on chromosome 7. Alternative splicing results in multiple transcript variants but their  biological validity has not been determined. (provided by RefSeq)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=CD2BP2[TIAB]+AND+cancer[MH]				0.176	0.57778	1							
TBC1D10B	1	SY							112	upper_aerodigestive_tract(7);thyroid(2);large_intestine(32);NS(2);soft_tissue(7);cervix(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);biliary_tract(1);endometrium(10);urinary_tract(1);oesophagus(7);liver(4);skin(11);lung(2);ovary(4);pancreas(5);prostate(2);bone(1);kidney(2);breast(6)	1	 Small G proteins of the RAB family (see MIM 179508) function in intracellular vesicle trafficking by switching	0														
SEPT1	1	SY							83	cervix(2);large_intestine(5);NS(2);stomach(5);soft_tissue(3);haematopoietic_and_lymphoid_tissue(3);endometrium(3);urinary_tract(5);lung(11);liver(2);skin(17);oesophagus(4);ovary(2);pancreas(4);prostate(2);bone(1);kidney(3);breast(9)	1	 This gene is a member of the septin family of GTPases. Members of this family are required for cytokinesis and the	2	http://www.ncbi.nlm.nih.gov/pubmed?term=SEPT1[TIAB]+AND+cancer[MH]													
ZNF48	1	MS							132	large_intestine(30);endometrium(10);lung(4);skin(22);autonomic_ganglia(1);kidney(4);thyroid(1);cervix(4);central_nervous_system(2);oesophagus(5);upper_aerodigestive_tract(2);biliary_tract(1);stomach(12);soft_tissue(1);urinary_tract(2);liver(7);prostate(5);pancreas(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(2);bone(1);breast(8)	1	No GeneCards annotation	0					0.023	0.98381	1	../MuPIT_Interactive?gm=chr16:30397444						
SEPHS2	1	UN							72	upper_aerodigestive_tract(3);cervix(3);large_intestine(13);stomach(4);central_nervous_system(1);pancreas(1);haematopoietic_and_lymphoid_tissue(1);endometrium(5);lung(3);breast(5);skin(11);oesophagus(1);ovary(1);NS(1);prostate(3);bone(1);kidney(6);liver(9)	1	 This gene encodes an enzyme that synthesizes selenophosphate from selenide and ATP. Selenophosphate is the	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SEPHS2[TIAB]+AND+cancer[TIAB]													
ITGAL	1	SY							383	large_intestine(64);endometrium(28);lung(14);skin(86);kidney(9);thyroid(6);cervix(5);eye(1);central_nervous_system(6);oesophagus(13);NS(15);upper_aerodigestive_tract(6);biliary_tract(3);stomach(25);soft_tissue(22);urinary_tract(13);liver(9);prostate(13);pancreas(7);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(6);ovary(10);bone(3);breast(18)	1	 ITGAL encodes the integrin alpha L chain. Integrins are heterodimeric integral membrane proteins composed of an	20	http://www.ncbi.nlm.nih.gov/pubmed?term=ITGAL[MH]+AND+cancer[MH]													
ZNF768	2	MS							107	upper_aerodigestive_tract(3);cervix(3);large_intestine(22);stomach(9);soft_tissue(1);central_nervous_system(3);genital_tract(1);haematopoietic_and_lymphoid_tissue(2);biliary_tract(3);endometrium(3);urinary_tract(4);lung(5);liver(6);skin(26);oesophagus(3);NS(2);prostate(3);bone(1);kidney(2);breast(5)	1	No GeneCards annotation	0					0.186	0.55652	1							
ZNF688	1	MS							66	cervix(2);large_intestine(19);stomach(2);central_nervous_system(2);adrenal_gland(1);small_intestine(2);liver(6);biliary_tract(1);endometrium(4);urinary_tract(2);lung(1);breast(5);skin(8);oesophagus(1);ovary(1);NS(1);prostate(6);kidney(1);pancreas(1)	1	No GeneCards annotation	0					0.086	0.83372	1							
ZNF689	1	SY							108	upper_aerodigestive_tract(1);cervix(1);large_intestine(27);stomach(8);soft_tissue(2);central_nervous_system(2);peritoneum(1);haematopoietic_and_lymphoid_tissue(3);biliary_tract(1);endometrium(8);urinary_tract(7);lung(6);breast(7);skin(20);oesophagus(1);NS(5);prostate(4);small_intestine(1);kidney(2);pancreas(1)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNF689[TIAB]+AND+cancer[MH]													
FBRS	1	II							1	ovary(1)	1	 Fibrosin is a lymphokine secreted by activated lymphocytes that induces fibroblast proliferation (Prakash and Robbins,  1998 (PubMed 9809749)).(supplied by OMIM)	2	http://www.ncbi.nlm.nih.gov/pubmed?term=FBRS[TIAB]+AND+cancer[MH]				0.2	0.37623	1	../MuPIT_Interactive?gm=chr16:30669211						
SRCAP	3	SY					C0729582	OMIM:136140	784	large_intestine(138);endometrium(42);lung(41);skin(150);autonomic_ganglia(2);kidney(25);thyroid(4);cervix(15);central_nervous_system(11);genital_tract(1);oesophagus(33);NS(22);upper_aerodigestive_tract(22);biliary_tract(5);stomach(59);soft_tissue(8);urinary_tract(26);breast(42);prostate(21);pancreas(17);adrenal_gland(1);salivary_gland(1);small_intestine(6);haematopoietic_and_lymphoid_tissue(25);ovary(13);bone(7);liver(47)	1	 This gene encodes the core catalytic component of the multiprotein chromatin-remodeling SRCAP complex. The encoded	5	http://www.ncbi.nlm.nih.gov/pubmed?term=SRCAP[TIAB]+AND+cancer[MH]													
RNF40	1	SY							213	large_intestine(42);endometrium(18);lung(17);skin(22);kidney(7);thyroid(4);cervix(7);central_nervous_system(7);oesophagus(7);NS(1);upper_aerodigestive_tract(3);biliary_tract(4);stomach(13);soft_tissue(3);urinary_tract(12);breast(9);prostate(17);pancreas(2);salivary_gland(1);haematopoietic_and_lymphoid_tissue(3);ovary(1);bone(2);liver(11)	1	 The protein encoded by this gene contains a RING finger, a motif known to be involved in protein-protein and	4	http://www.ncbi.nlm.nih.gov/pubmed?term=RNF40[TIAB]+AND+cancer[MH]													
ORAI3	1	SY							59	upper_aerodigestive_tract(2);cervix(1);large_intestine(6);stomach(3);central_nervous_system(1);autonomic_ganglia(2);haematopoietic_and_lymphoid_tissue(1);kidney(1);endometrium(4);urinary_tract(1);oesophagus(3);liver(8);skin(12);lung(6);ovary(1);NS(2);prostate(2);bone(1);pancreas(2)	1	No GeneCards annotation	8	http://www.ncbi.nlm.nih.gov/pubmed?term=ORAI3[TIAB]+AND+cancer[MH]													
HSD3B7	2	MS					C1843116	OMIM:607765	92	thyroid(7);cervix(2);large_intestine(17);stomach(8);central_nervous_system(3);pancreas(1);upper_aerodigestive_tract(1);haematopoietic_and_lymphoid_tissue(2);biliary_tract(1);endometrium(6);urinary_tract(2);lung(2);liver(5);skin(18);oesophagus(2);ovary(1);NS(2);prostate(8);kidney(2);breast(2)	1	 This gene encodes an enzyme which is involved in the initial stages of the synthesis of bile acids from	1	http://www.ncbi.nlm.nih.gov/pubmed?term=HSD3B7[TIAB]+AND+cancer[MH]				0.004	0.99838	1	../MuPIT_Interactive?gm=chr16:30987821						
STX1B	1	SY					C4015395	OMIM:616172	67	upper_aerodigestive_tract(2);thyroid(2);large_intestine(12);stomach(5);soft_tissue(1);central_nervous_system(1);cervix(1);haematopoietic_and_lymphoid_tissue(1);endometrium(7);lung(6);breast(5);skin(13);ovary(2);NS(3);prostate(1);bone(1);liver(4)	1	 Syntaxins are cellular receptors for transport vesicles (see MIM 603765). One of these proteins, designated syntaxin 1B  (STX1B), is directly implicated in the process of calcium-dependent synaptic transmission in rat brain (Smirnova et  al., 1993 (PubMed 8105537)). The expression of this protein is transiently induced by long-term potentiation of  synaptic responses in the rat hippocampus. The protein may play an important role in the excitatory pathway of  synaptic transmission, which is known to be implicated in several neurologic diseases.(supplied by OMIM)	1	http://www.ncbi.nlm.nih.gov/pubmed?term=STX1B[TIAB]+AND+cancer[MH]													
ZNF668	2	MS							242	large_intestine(59);endometrium(4);lung(11);skin(36);kidney(3);thyroid(1);cervix(4);central_nervous_system(2);oesophagus(2);NS(5);upper_aerodigestive_tract(6);biliary_tract(2);stomach(16);soft_tissue(34);urinary_tract(5);liver(7);prostate(6);pancreas(7);small_intestine(3);haematopoietic_and_lymphoid_tissue(7);ovary(3);bone(2);breast(17)	1	No GeneCards annotation	2	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNF668[TIAB]+AND+cancer[MH]				0.068	0.89535	1							
ZNF646	2	MS							411	large_intestine(65);endometrium(25);lung(27);skin(49);autonomic_ganglia(2);kidney(11);thyroid(4);cervix(11);central_nervous_system(22);genital_tract(1);oesophagus(22);NS(6);upper_aerodigestive_tract(39);biliary_tract(5);stomach(26);soft_tissue(15);urinary_tract(14);liver(13);prostate(14);pancreas(6);adrenal_gland(1);salivary_gland(1);haematopoietic_and_lymphoid_tissue(6);ovary(2);bone(4);breast(20)	1	No GeneCards annotation	0					0.097	0.79496	1							
VKORC1	1	SS					C1843832	OMIM:607473	24	upper_aerodigestive_tract(2);large_intestine(3);stomach(2);soft_tissue(3);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(1);endometrium(1);urinary_tract(1);oesophagus(1);breast(2);skin(1);lung(2);ovary(1);prostate(2);kidney(1)	1	 Vitamin K is essential for blood clotting but must be enzymatically activated. This enzymatically activated form of  vitamin K is a reduced form required for the carboxylation of glutamic acid residues in some blood-clotting proteins.  The product of this gene encodes the enzyme that is responsible for reducing vitamin K 2,3-epoxide to the  enzymatically activated form. Fatal bleeding can be caused by vitamin K deficiency and by the vitamin K antagonist  warfarin, and it is the product of this gene that is sensitive to warfarin. In humans, mutations in this gene can be  associated with deficiencies in vitamin-K-dependent clotting factors and, in humans and rats, with warfarin  resistance. Two pseudogenes have been identified on chromosome 1 and the X chromosome. Two alternatively spliced  transcripts encoding different isoforms have been described. (provided by RefSeq)	7	http://www.ncbi.nlm.nih.gov/pubmed?term=VKORC1[TIAB]+AND+cancer[MH]				0.453	0.35615	1							
KAT8	3	MS							98	thyroid(3);upper_aerodigestive_tract(3);biliary_tract(5);stomach(12);central_nervous_system(1);liver(6);cervix(1);large_intestine(19);urinary_tract(2);oesophagus(4);breast(5);skin(20);autonomic_ganglia(1);prostate(3);soft_tissue(1);kidney(3);pancreas(9)	1	 This gene encodes a member of the MYST histone acetylase protein family. The encoded protein has a characteristic	2	http://www.ncbi.nlm.nih.gov/pubmed?term=KAT8[TIAB]+AND+cancer[MH]				0.02	0.98755	1							
PRSS36	2	SY							188	large_intestine(55);endometrium(7);lung(9);skin(32);meninges(1);kidney(3);thyroid(3);cervix(1);central_nervous_system(3);oesophagus(4);NS(6);upper_aerodigestive_tract(4);biliary_tract(2);stomach(9);soft_tissue(5);urinary_tract(4);breast(7);prostate(5);pancreas(2);haematopoietic_and_lymphoid_tissue(4);ovary(6);bone(1);liver(15)	1	No GeneCards annotation	0														
FUS	1	SY					C1842675	OMIM:608030	144	large_intestine(28);endometrium(11);lung(6);skin(27);kidney(9);thyroid(2);cervix(1);central_nervous_system(3);oesophagus(5);NS(2);upper_aerodigestive_tract(1);biliary_tract(1);stomach(3);soft_tissue(3);urinary_tract(5);breast(10);prostate(9);pancreas(2);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);ovary(2);bone(3);liver(8)	1	 This gene encodes a multifunctional protein component of the heterogeneous nuclear ribonucleoprotein (hnRNP)	286	http://www.ncbi.nlm.nih.gov/pubmed?term=FUS[TIAB]+AND+cancer[MH]													
TRIM72	1	SY							112	large_intestine(25);pleura(1);endometrium(3);lung(8);skin(18);autonomic_ganglia(1);thyroid(2);cervix(1);central_nervous_system(3);oesophagus(7);NS(5);upper_aerodigestive_tract(3);biliary_tract(2);stomach(10);soft_tissue(1);urinary_tract(2);liver(3);prostate(6);pancreas(4);haematopoietic_and_lymphoid_tissue(4);bone(1);breast(2)	1	No GeneCards annotation	0														
ITGAM	4	MS					C1835919	OMIM:609939	385	large_intestine(62);pleura(1);endometrium(32);lung(34);skin(86);autonomic_ganglia(1);kidney(9);thyroid(10);cervix(4);central_nervous_system(14);genital_tract(1);oesophagus(8);NS(6);upper_aerodigestive_tract(6);biliary_tract(1);stomach(20);soft_tissue(13);urinary_tract(5);breast(12);prostate(19);pancreas(9);adrenal_gland(1);salivary_gland(2);haematopoietic_and_lymphoid_tissue(4);ovary(4);bone(2);liver(19)	1	 This gene encodes the integrin alpha M chain. Integrins are heterodimeric integral membrane proteins composed of	331	http://www.ncbi.nlm.nih.gov/pubmed?term=ITGAM[MH]+AND+cancer[MH]				0.218	0.94823027772223	1	../MuPIT_Interactive?gm=chr16:31265490						
ITGAX	3	MS							463	large_intestine(51);endometrium(24);lung(34);skin(111);autonomic_ganglia(1);kidney(22);thyroid(5);cervix(15);central_nervous_system(18);oesophagus(10);NS(10);upper_aerodigestive_tract(10);biliary_tract(4);stomach(28);soft_tissue(9);urinary_tract(2);breast(37);prostate(14);pancreas(10);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(7);ovary(10);bone(4);liver(26)	1	 This gene encodes the integrin alpha X chain protein. Integrins are heterodimeric integral membrane proteins composed  of an alpha chain and a beta chain. This protein combines with the beta 2 chain (ITGB2) to form a leukocyte-specific  integrin referred to as inactivated-C3b (iC3b) receptor 4 (CR4). The alpha X beta 2 complex seems to overlap the  properties of the alpha M beta 2 integrin in the adherence of neutrophils and monocytes to stimulated endothelium  cells, and in the phagocytosis of complement coated particles. (provided by RefSeq)	142	http://www.ncbi.nlm.nih.gov/pubmed?term=ITGAX[MH]+AND+cancer[MH]				0.437	0.825706624599145	1	../MuPIT_Interactive?gm=chr16:31363214						
ITGAD	1	SY							392	large_intestine(41);endometrium(19);lung(35);skin(103);kidney(4);thyroid(2);cervix(2);eye(1);central_nervous_system(15);genital_tract(1);oesophagus(17);parathyroid(1);NS(11);upper_aerodigestive_tract(6);biliary_tract(6);stomach(21);soft_tissue(5);urinary_tract(10);liver(42);prostate(9);pancreas(12);adrenal_gland(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(9);ovary(4);bone(4);breast(9)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=ITGAD[TIAB]+AND+cancer[MH]													
ARMC5	1	MS					C4014803	OMIM:615954	240	large_intestine(48);endometrium(9);lung(9);skin(47);kidney(3);thyroid(2);cervix(2);central_nervous_system(5);oesophagus(6);NS(5);upper_aerodigestive_tract(10);biliary_tract(8);stomach(10);soft_tissue(4);urinary_tract(10);breast(11);prostate(8);pancreas(7);adrenal_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(2);ovary(5);bone(1);liver(25)	1	No GeneCards annotation	0					0.079	0.8575	1							
ZNF720	1	FI							36	upper_aerodigestive_tract(10);cervix(2);large_intestine(1);stomach(1);soft_tissue(4);haematopoietic_and_lymphoid_tissue(2);endometrium(3);lung(2);liver(3);skin(2);oesophagus(2);pancreas(1);prostate(1);kidney(1);breast(1)	1	No GeneCards annotation	0					0.01	0.98712	1							
ZNF267	1	MS							232	large_intestine(53);endometrium(25);lung(14);skin(28);kidney(3);thyroid(4);cervix(4);eye(1);central_nervous_system(1);oesophagus(11);NS(14);upper_aerodigestive_tract(5);biliary_tract(5);stomach(14);soft_tissue(6);urinary_tract(5);breast(13);prostate(5);pancreas(2);haematopoietic_and_lymphoid_tissue(4);ovary(2);liver(13)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=ZNF267[TIAB]+AND+cancer[MH]				0.024	0.9828	1							
TP53TG3D	2	MS									1	No GeneCards annotation	0					0.021	0.98603	1							
SHCBP1	1	MS							124	large_intestine(19);endometrium(11);lung(9);skin(21);kidney(5);thyroid(2);cervix(1);central_nervous_system(4);oesophagus(5);NS(1);upper_aerodigestive_tract(6);biliary_tract(1);stomach(3);soft_tissue(2);urinary_tract(3);liver(12);prostate(4);pancreas(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(2);bone(1);breast(6)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SHCBP1[TIAB]+AND+cancer[MH]				0.006	0.99737	1							
VPS35	1	SY					C3280133	OMIM:614203	141	large_intestine(22);endometrium(9);lung(11);skin(24);autonomic_ganglia(1);kidney(6);thyroid(1);cervix(1);central_nervous_system(4);oesophagus(6);NS(6);upper_aerodigestive_tract(3);stomach(7);soft_tissue(1);urinary_tract(6);breast(6);prostate(2);pancreas(5);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(4);bone(2);liver(13)	1	 This gene belongs to a group of vacuolar protein sorting (VPS) genes. The encoded protein is a component of a	3	http://www.ncbi.nlm.nih.gov/pubmed?term=VPS35[TIAB]+AND+cancer[MH]													
MYLK3	1	MS							269	large_intestine(40);endometrium(10);lung(12);skin(76);autonomic_ganglia(1);kidney(7);thyroid(1);cervix(2);central_nervous_system(8);oesophagus(13);NS(6);upper_aerodigestive_tract(20);biliary_tract(1);stomach(11);soft_tissue(6);urinary_tract(11);liver(4);prostate(14);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(7);ovary(6);bone(2);breast(5)	1	 Phosphorylation of cardiac myosin heavy chains (see MYH7B, MIM 609928) and light chains (see MYL2, MIM 160781) by	0					0.03	0.97622	1							
ABCC12	2	MS							486	large_intestine(93);endometrium(29);lung(40);skin(124);kidney(9);thyroid(4);cervix(4);central_nervous_system(6);oesophagus(10);NS(14);upper_aerodigestive_tract(7);biliary_tract(4);stomach(34);soft_tissue(10);urinary_tract(13);breast(24);prostate(7);pancreas(7);adrenal_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(9);ovary(4);liver(31)	1	 This gene is a member of the superfamily of ATP-binding cassette (ABC) transporters and the encoded protein contains  two ATP-binding domains and 12 transmembrane regions. ABC proteins transport various molecules across extra- and  intracellular membranes. ABC genes are divided into seven distinct subfamilies: ABC1, MDR/TAP, MRP, ALD, OABP, GCN20,  and White. This gene is a member of the MRP subfamily which is involved in multi-drug resistance. This gene and  another subfamily member are arranged head-to-tail on chromosome 16q12.1. Increased expression of this gene is  associated with breast cancer. (provided by RefSeq)	3	http://www.ncbi.nlm.nih.gov/pubmed?term=ABCC12[TIAB]+AND+cancer[MH]				0.104	0.970893826098811	1	../MuPIT_Interactive?gm=chr16:48088671,chr16:48105263						
